tool	yearPublished	journal	impactFactor(2017)	Journal H5-index(2017)	totalCitations(2017)	totalCitations(2020)	H-index: (Corresponding author)(2017)	M-index (Corresponding author)(2017)	H (2020)	M (2020)	Versions	Commits (Github)	Contributers (Github)	Github repo	fullCite	
bellerophontes	2012	Bioinformatics	4.981	106	17	38	Francesco Abate:7	Francesco Abate:1	Francesco Abate:17	1.42	NA	NA	NA	NA	Abate, Francesco, et al. "Bellerophontes: an RNA-Seq data analysis framework for chimeric transcripts discovery based on accurate fusion model." Bioinformatics 28.16 (2012): 2114-2121.	
bfast	2009	PloS one	3.234	161	400	645	Barry Merriman:43	Barry Merriman:2.39	Barry Merriman:51	1.65	1	1310	4	https://github.com/nh13/BFAST	Homer, N., Merriman, B., & Nelson, S. F. (2009). BFAST: an alignment tool for large scale genome resequencing. PloS one, 4(11), e7767.	
bfc	2015	Bioinformatics	NA	NA	NA	127	NA		Heng Li:53	3.31	1	166	1	https://github.com/lh3/bfc	Li H. BFC: correcting Illumina sequencing errors. Bioinformatics. 2015 Sep 1;31(17):2885-7.	
bicseq	2011	Proceedings of the National Academy of Sciences				214	NA		Peter J Park:101	5.05	1	NA	NA	NA	Xi R, Hadjipanayis AG, Luquette LJ, Kim TM, Lee E, Zhang J, Johnson MD, Muzny DM, Wheeler DA, Gibbs RA, Kucherlapati R. Copy number variation detection in whole-genome sequencing data using the Bayesian information criterion. Proceedings of the National Academy of Sciences. 2011 Nov 15;108(46):E1128-36.	
binpacker	2016	PLoS computational biology	NA	NA	NA	86	NA		Guojun Li:24	1.09	1	NA	NA	NA	Liu J, Li G, Chang Z, Yu T, Liu B, McMullen R, Chen P, Huang X. BinPacker: packing-based de novo transcriptome assembly from RNA-seq data. PLoS computational biology. 2016 Feb 19;12(2):e1004772.	
bismark	2011	Bioinformatics	4.900	106	329	2049	Felix Krueger:14	Felix Krueger:3.5	Felix Krueger:33	3.00	1.223	740	9	https://github.com/FelixKrueger/Bismark	Krueger, Felix, and Simon R. Andrews. "Bismark: a flexible aligner and methylation caller for Bisulfite-Seq applications." Bioinformatics 27, no. 11 (2011): 1571-1572.	
bismarkbowtiela	2011	Bioinformatics	NA	NA	NA	2280	NA		Felix Krueger:36	3.27	1.23	805	10	https://github.com/FelixKrueger/Bismark	Krueger F, Andrews SR. Bismark: a flexible aligner and methylation caller for Bisulfite-Seq applications. bioinformatics. 2011 Jun 1;27(11):1571-2.	
bismarkbowtielb	2011	Bioinformatics	NA	NA	NA	2280	NA		Felix Krueger:36	3.27	1.23	805	10	https://github.com/FelixKrueger/Bismark	Krueger F, Andrews SR. Bismark: a flexible aligner and methylation caller for Bisulfite-Seq applications. bioinformatics. 2011 Jun 1;27(11):1571-2.	
bismarkbowtielc	2011	Bioinformatics	NA	NA	NA	2280	NA		Felix Krueger:36	3.27	1.23	805	10	https://github.com/FelixKrueger/Bismark	Krueger F, Andrews SR. Bismark: a flexible aligner and methylation caller for Bisulfite-Seq applications. bioinformatics. 2011 Jun 1;27(11):1571-2.	
biss	2012	PloS one	3.234	161	9	28	Arndt von Haeseler:50	Arndt von Haeseler:2.38	Arndt von Haeseler:68	2.13	NA	NA	NA	NA	Dinh, Huy Q., Manu Dubin, Fritz J. Sedlazeck, Nicole Lettner, Ortrun Mittelsten Scheid, and Arndt von Haeseler. "Advanced methylome analysis after bisulfite deep sequencing: an example in Arabidopsis." PloS one 7, no. 7 (2012): e41528.	
blastmegan	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	
bless	2014	Bioinformatics	NA	NA	NA	139	NA		Deming Chen:41	2.41	1	NA	NA	NA	Heo Y, Wu XL, Chen D, Ma J, Hwu WM. BLESS: bloom filter-based error correction solution for high-throughput sequencing reads. Bioinformatics. 2014 May 15;30(10):1354-62.	
blue	2014	Bioinformatics	NA	NA	NA	66	NA		Paul Greenfield:20	0.95	1	NA	NA	NA	Greenfield P, Duesing K, Papanicolaou A, Bauer DC. Blue: correcting sequencing errors using consensus and context. Bioinformatics. 2014 Oct 1;30(19):2723-32.	
bmp	2014	Journal of microbiological methods	NA	NA	NA	176	NA		Victor Satler Pylro:13	1.30	1	NA	NA	NA	Pylro VS, Roesch LF, Morais DK, Clark IM, Hirsch PR, Tótola MR. Data analysis for 16S microbial profiling from different benchtop sequencing platforms. Journal of microbiological methods. 2014 Dec 1;107:30-7.	
boost	2010	American Journal of Human Genetics	10.931	92	187	449	Weichuan Yu:21	Weichuan Yu:1.24	Weichuan Yu:30	0.77	NA	NA	NA	NA	Wan, X., Yang, C., Yang, Q., Xue, H., Fan, X., Tang, N. L., & Yu, W. (2010). BOOST: A fast approach to detecting gene-gene interactions in genome-wide case-control studies. The American Journal of Human Genetics, 87(3), 325-340.	
bowtie	2009	Genome biology	10.800	83	6616	16949	Ben Langmead:13	Ben Langmead:2.17	Ben Langmead:29	2.64	1.3	2201	12	https://github.com/BenLangmead/bowtie	Langmead, B., Trapnell, C., Pop, M., & Salzberg, S. L. (2009). Ultrafast and memory-efficient alignment of short DNA sequences to the human genome. Genome Biology, 10(3), R25. doi:10.1186/gb-2009-10-3-r25	
bowtie2	2012	Nature methods	32.072	125	2602	21420	Ben Langmead:13	Ben Langmead:2.17	Ben Langmead:29	2.64	2.41	2265	21	https://github.com/BenLangmead/bowtie2	Langmead, B., & Salzberg, S. L. (2012). Fast gapped-read alignment with Bowtie 2. Nature Methods, 9(4), 357–9. doi:10.1038/nmeth.1923	
bowtiestar	2009	Genome biology	10.800	83	6616	16949	Ben Langmead:13	Ben Langmead:2.17	Ben Langmead:29	2.64	1.3	2201	12	https://github.com/BenLangmead/bowtie	Langmead, B., Trapnell, C., Pop, M., & Salzberg, S. L. (2009). Ultrafast and memory-efficient alignment of short DNA sequences to the human genome. Genome Biology, 10(3), R25. doi:10.1186/gb-2009-10-3-r25	
bratbw	2010	Bioinformatics	4.900	106	42	71	NA	NA	NA	NA	NA	NA	NA	NA	Harris, Elena Y., Nadia Ponts, Aleksandr Levchuk, Karine Le Roch, and Stefano Lonardi. "BRAT: bisulfite-treated reads analysis tool." Bioinformatics26, no. 4 (2010): 572-573.	
breakdancer	2009	Nature methods	NA	NA	NA	1295	NA		NA	NA	1.36	622	11	https://github.com/genome/breakdancer	Chen K, Wallis JW, McLellan MD, Larson DE, Kalicki JM, Pohl CS, McGrath SD, Wendl MC, Zhang Q, Locke DP, Shi X. BreakDancer: an algorithm for high-resolution mapping of genomic structural variation. Nature methods. 2009 Sep;6(9):677-81.	
breakseek	2015	Nucleic acids research	NA	NA	NA	14	NA		Fangqing Zhao:39	2.29	1	NA	NA	NA	Zhao H, Zhao F. BreakSeek: a breakpoint-based algorithm for full spectral range INDEL detection. Nucleic acids research. 2015 Aug 18;43(14):6701-13.	
breakseq	2010	Nature biotechnology	NA	NA	NA	199	NA		Mark Gerstein:174	6.00	2	73	2	https://github.com/bioinform/breakseq2	Lam HY, Mu XJ, Stütz AM, Tanzer A, Cayting PD, Snyder M, Kim PM, Korbel JO, Gerstein MB. Nucleotide-resolution analysis of structural variants using BreakSeq and a breakpoint library. Nature biotechnology. 2010 Jan;28(1):47-55.	
bridger	2015	Genome biology				210	NA		Zheng Chang:4	0.67	1.4	NA	NA	NA	Chang Z, Li G, Liu J, Zhang Y, Ashby C, Liu D, Cramer CL, Huang X. Bridger: a new framework for de novo transcriptome assembly using RNA-seq data. Genome biology. 2015 Dec 1;16(1):30.	
bsmap	2009	BMC bioinformatics	2.576	74	167	646	Wei Li:43	Wei Li:3.31	Wei Li:74	3.89	NA	NA	NA	NA	Xi, Yuanxin, and Wei Li. "BSMAP: whole genome bisulfite sequence MAPping program." BMC bioinformatics 10, no. 1 (2009): 232.	
bsmooth	2012	Genome Biology	10.800	83	119	452	Kasper D. Hansen:25; Ben Langmead:15; Rafael A Irizarry:62	Kasper D. Hansen:2.5; Ben Langmead:2.14; Rafael A Irizarry:4.77	Rafael A Irizarry:83	2.52	1	27	1	https://github.com/BenLangmead/bsmooth-align	Hansen, K. D., Langmead, B., & Irizarry, R. A. (2012). BSmooth: from whole genome bisulfite sequencing reads to differentially methylated regions. Genome Biol, 13(10), R83.	
bsseeker	2010	BMC bioinformatics	2.576	74	137	226	matteo pellegrini:47	matteo pellegrini:2.94	matteo pellegrini:76	2.05	2.18	64	3	https://github.com/BSSeeker/BSseeker2	Chen, Pao-Yang, Shawn J. Cokus, and Matteo Pellegrini. "BS Seeker: precise mapping for bisulfite sequencing." BMC bioinformatics 11, no. 1 (2010): 203.	
buckycon	2010	Bioinformatics	4.900	106	138	364	Cécile Ané:19	Cécile Ané:1.46	NA	NA	NA	NA	NA	NA	Larget, B. R., Kotha, S. K., Dewey, C. N., & Ané, C. (2010). BUCKy: gene tree/species tree reconciliation with Bayesian concordance analysis. Bioinformatics, 26(22), 2910-2911.	
buckymrbayes	2010	Bioinformatics	4.900	106	138	364	Cécile Ané:19	Cécile Ané:1.46	NA	NA	NA	NA	NA	NA	Larget, B. R., Kotha, S. K., Dewey, C. N., & Ané, C. (2010). BUCKy: gene tree/species tree reconciliation with Bayesian concordance analysis. Bioinformatics, 26(22), 2910-2911.	
buckymrbayesspa	2010	Bioinformatics	4.900	106	138	364	Cécile Ané:19	Cécile Ané:1.46	NA	NA	NA	NA	NA	NA	Larget, B. R., Kotha, S. K., Dewey, C. N., & Ané, C. (2010). BUCKy: gene tree/species tree reconciliation with Bayesian concordance analysis.Bioinformatics, 26(22), 2910-2911.	
buckypop	2010	Bioinformatics	4.900	106	138	364	Cécile Ané:19	Cécile Ané:1.46	NA	NA	NA	NA	NA	NA	Larget, B. R., Kotha, S. K., Dewey, C. N., & Ané, C. (2010). BUCKy: gene tree/species tree reconciliation with Bayesian concordance analysis. Bioinformatics, 26(22), 2910-2911.	
buckyraxml	2010	Bioinformatics	4.900	106	138	364	Cécile Ané:19	Cécile Ané:1.46	NA	NA	NA	NA	NA	NA	Larget, B. R., Kotha, S. K., Dewey, C. N., & Ané, C. (2010). BUCKy: gene tree/species tree reconciliation with Bayesian concordance analysis.Bioinformatics, 26(22), 2910-2911.	
builder	1994; 1995	Journal of molecular biology; Nature Structural & Molecular Biology	4.333; 13.309	62; 94	341; 100	423; 123	Patrice Koehl:38	Patrice Koehl:1.46	Patrice Koehl:44	1.42	NA	NA	NA	NA	Koehl, P., & Delarue, M. (1994). Application of a self-consistent mean field theory to predict protein side-chains conformation and estimate their conformational entropy. Journal of molecular biology, 239(2), 249-275.; Koehl, P., & Delarue, M. (1995). A self consistent mean field approach to simultaneous gap closure and side-chain positioning in homology modelling. Nature Structural & Molecular Biology, 2(2), 163-170.	
bwa	2009	Bioinformatics	4.900	106	6671	24863	Richard Durbin:104	Richard Durbin:4.95	Richard Durbin:135	3.97	1.717	931	23	https://github.com/lh3/bwa	Li, H., & Durbin, R. (2009). Fast and accurate short read alignment with Burrows-Wheeler transform. Bioinformatics (Oxford, England), 25(14), 1754–60. doi:10.1093/bioinformatics/btp324	
bwamem	2009	Bioinformatics	NA	NA	NA	26851	NA		Richard Durbin:135	3.97	1.717	931	23	https://github.com/lh3/bwa	Li H, Durbin R. Fast and accurate short read alignment with Burrows–Wheeler transform. bioinformatics. 2009 Jul 15;25(14):1754-60.	
bwapssm	2014	BMC bioinformatics	NA	NA	NA	47	NA		Anders Krogh:77	2.33	1.511	585	5	https://github.com/pkerpedjiev/bwa-pssm	Kerpedjiev P, Frellsen J, Lindgreen S, Krogh A. Adaptable probabilistic mapping of short reads using position specific scoring matrices. BMC bioinformatics. 2014 Dec 1;15(1):100.	
bwasw	2010	Bioinformatics	4.900	106	1731	6706	Richard Durbin:104	Richard Durbin:4.95	Richard Durbin:135	3.97	1.717	931	23	https://github.com/lh3/bwa	Li, H., & Durbin, R. (2010). Fast and accurate long-read alignment with Burrows–Wheeler transform. Bioinformatics, 26(5), 589-595.	
calista	2019	bioRxiv	NA	NA	NA	4	NA		Rudiyanto Gunawan:29	1.45	1	259	1	https://github.com/CABSEL/CALISTA	Gao, N. P., Hartmann, T., Fang, T., & Gunawan, R. (2019). CALISTA: Clustering And Lineage Inference in Single-Cell Transcriptional Analysis. bioRxiv, 257550.	
caml	2006	Systematic biology	14.387	57	58	90	Olivier Gascuel:36	Olivier Gascuel:2.25	Olivier Gascuel:45	1.32	NA	NA	NA	NA	Criscuolo, Alexis, Vincent Berry, Emmanuel JP Douzery, and Olivier Gascuel. "SDM: a fast distance-based approach for (super) tree building in phylogenomics." Systematic Biology 55, no. 5 (2006): 740-755.	
camp	2001	Systematic biology	14.387	57	164	187	Olaf R.P. Bininda-Emonds:44	Olaf R.P. Bininda-Emonds:2.93	Olaf R.P. Bininda-Emonds:54	1.93	NA	NA	NA	NA	Bininda-Emonds, Olaf RP, and Michael J. Sanderson. "Assessment of the accuracy of matrix representation with parsimony analysis supertree construction." Systematic Biology 50, no. 4 (2001): 565-579.	
canu	2017	Genome research	NA	NA	NA	1980	NA		Adam M. Phillippy:45	2.50	2.1	10169	20	https://github.com/marbl/canu	Koren S, Walenz BP, Berlin K, Miller JR, Bergman NH, Phillippy AM. Canu: scalable and accurate long-read assembly via adaptive k-mer weighting and repeat separation. Genome research. 2017 May 1;27(5):722-36.	
canvas	2016	Bioinformatics	NA	NA	NA	67	NA		NA	NA	1.4001613	1876	8	https://github.com/Illumina/canvas	Roller E, Ivakhno S, Lee S, Royce T, Tanner S. Canvas: versatile and scalable detection of copy number variants. Bioinformatics. 2016 Aug 1;32(15):2375-7.	
carma	2008	Nucleic acids research	9.100	172	226; 85	306; 137	Jens Stoye:42	Jens Stoye:2.33	Jens Stoye:46	1.35	3	6	2	https://github.com/wgerlach/CARMA3	Krause, L., Diaz, N.N., Goesmann, A., Kelley, S., Nattkemper, T.W., Rohwer, F., Edwards, R.A. and Stoye, J., 2008. Phylogenetic classification of short environmental DNA fragments. Nucleic acids research, 36(7), pp.2230-2239.; Gerlach, W. and Stoye, J., 2011. Taxonomic classification of metagenomic shotgun sequences with CARMA3. Nucleic acids research, p.gkr225.	
casdesigner	2015	Bioinformatics	NA	NA	NA	146	NA		Jin-Soo KIM:66	2.44	1	NA	NA	NA	Park J, Bae S, Kim Js. Sequence analysis Cas-Designer: A web-based tool for choice of CRISPR-Cas9 target sites. Bioinformatics. 2015;31(24):1–3.	
ce	1998	Protein engineering	NA	NA	1944	2365	Philip Bourne:54	Philip Bourne:3.6	Philip Bourne:73	1.46	NA	NA	NA	NA	Shindyalov, I. N., & Bourne, P. E. (1998). Protein structure alignment by incremental combinatorial extension (CE) of the optimal path. Protein engineering, 11(9), 739-747.	
celera	2008	Bioinformatics	4.900	106	321	547	NA	NA	NA	NA	NA	NA	NA	NA	Miller, Jason R., Arthur L. Delcher, Sergey Koren, Eli Venter, Brian P. Walenz, Anushka Brownley, Justin Johnson, Kelvin Li, Clark Mobarry, and Granger Sutton. "Aggressive assembly of pyrosequencing reads with mates."Bioinformatics 24, no. 24 (2008): 2818-2824.	
cellrouter	2018	Nature communications	NA	NA	NA	41	NA		James J Collins:144	4.65	1	79	2	https://github.com/edroaldo/cellrouter	Da Rocha EL, Rowe RG, Lundin V, Malleshaiah M, Jha DK, Rambo CR, Li H, North TE, Collins JJ, Daley GQ. Reconstruction of complex single-cell trajectories using CellRouter. Nature communications. 2018 Mar 1;9(1):1-3.	
celltrails	2018	Cell reports	NA	NA	NA	10	NA		Peter G. Barr-Gillespie:51	1.59	1	158	5	https://github.com/dcellwanger/CellTrails	Ellwanger DC, Scheibinger M, Dumont RA, Barr-Gillespie PG, Heller S. Transcriptional dynamics of hair-bundle morphogenesis revealed with CellTrails. Cell reports. 2018 Jun 5;23(10):2901-14.	
celltreegibbs	2016	BMC bioinformatics	NA	NA	NA	38	NA		Koji Tsuda:44	1.69	1	NA	NA	NA	Yotsukura S, Nomura S, Aburatani H, Tsuda K. CellTree: an R/bioconductor package to infer the hierarchical structure of cell populations from single-cell RNA-seq data. BMC bioinformatics. 2016 Dec 1;17(1):363.	
celltreemaptpx	2016	BMC bioinformatics	NA	NA	NA	38	NA		Koji Tsuda:44	1.69	1	NA	NA	NA	Yotsukura S, Nomura S, Aburatani H, Tsuda K. CellTree: an R/bioconductor package to infer the hierarchical structure of cell populations from single-cell RNA-seq data. BMC bioinformatics. 2016 Dec 1;17(1):363.	
celltreevem	2016	BMC bioinformatics	NA	NA	NA	38	NA		Koji Tsuda:44	1.69	1	NA	NA	NA	Yotsukura S, Nomura S, Aburatani H, Tsuda K. CellTree: an R/bioconductor package to infer the hierarchical structure of cell populations from single-cell RNA-seq data. BMC bioinformatics. 2016 Dec 1;17(1):363.	
cg	2018	International journal of data science and analytics	NA	NA	NA	19	NA		Gregory Cooper:54	1.46	6.8	3817	19	https://github.com/cmu-phil/tetrad	Andrews B, Ramsey J, Cooper GF. Scoring Bayesian networks of mixed variables. International journal of data science and analytics. 2018 Aug 1;6(1):3-18.	
chimerascan	2011	Bioinformatics	NA	NA	NA	247	NA		Christopher A. Maher:47	2.47	1	301	1	https://github.com/biobuilds/chimerascan	Iyer MK, Chinnaiyan AM, Maher CA. ChimeraScan: a tool for identifying chimeric transcription in sequencing data. Bioinformatics. 2011 Oct 15;27(20):2903-4.	
chimpipe	2017	BMC genomics	NA	NA	NA	14	NA		Sarah Djebali:23	1.53	1.96	313	2	https://github.com/Chimera-tools/ChimPipe	Rodríguez-Martín B, Palumbo E, Marco-Sola S, Griebel T, Ribeca P, Alonso G, Rastrojo A, Aguado B, Guigó R, Djebali S. ChimPipe: accurate detection of fusion genes and transcription-induced chimeras from RNA-seq data. BMC genomics. 2017 Dec;18(1):1-7.	
chisquare	2000	MIT press	NA	NA	NA	7993	NA		David Heckerman:121	3.36	NA	NA	NA	NA	Spirtes P, Glymour CN, Scheines R, Heckerman D. Causation, prediction, and search. MIT press; 2000.	
chopchop	2014	Nucleic Acids Research	NA	NA	NA	674	NA		Eivind Valen:32	2.46	1	NA	NA	NA	Montague TG, Cruz JM, Gagnon JA, Church GM, Valen E. CHOPCHOP: A CRISPR/Cas9 and TALEN web tool for genome editing. Nucleic Acids Research. 2014;42(W1):401–407.	
clark	2015	BMC genomics	3.986	80	6	349	Stefano Lonardi:34	Stefano Lonardi:2.27	Stefano Lonardi:49	2.45	NA	NA	NA	NA	Ounit, Rachid, Steve Wanamaker, Timothy J. Close, and Stefano Lonardi. "CLARK: fast and accurate classification of metagenomic and genomic sequences using discriminative k-mers." BMC genomics 16, no. 1 (2015): 236.	
clarks	2015	BMC genomics	3.986	80	6	349	Stefano Lonardi:34	Stefano Lonardi:2.27	Stefano Lonardi:49	2.45	NA	NA	NA	NA	Ounit, Rachid, Steve Wanamaker, Timothy J. Close, and Stefano Lonardi. "CLARK: fast and accurate classification of metagenomic and genomic sequences using discriminative k-mers." BMC genomics 16, no. 1 (2015): 236.	
clc	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://clcbio.com	
clever	2012	Bioinformatics	NA	NA	NA	89	NA		Tobias Marschall:27	1.93	1	NA	NA	NA	Marschall T, Costa IG, Canzar S, Bauer M, Klau GW, Schliep A, Schönhuth A. CLEVER: clique-enumerating variant finder. Bioinformatics. 2012 Nov 15;28(22):2875-82.	
clustal	2011	Molecular systems biology	NA	NA	NA	9477	NA		des higgins:68	2.06	1.24	NA	NA	NA	Sievers F, Wilm A, Dineen D, Gibson TJ, Karplus K, Li W, Lopez R, McWilliam H, Remmert M, Söding J, Thompson JD. Fast, scalable generation of high‐quality protein multiple sequence alignments using Clustal Omega. Molecular systems biology. 2011;7(1):539.	
clustalomega	2011	Molecular systems biology	10.872	73	1611	8937	des higgins:56	des higgins:2.55	des higgins:68	2.06	1.24	1	1	https://github.com/FabianSievers/clustal-omega	Sievers, F., Wilm, A., Dineen, D., Gibson, T. J., Karplus, K., Li, W., ... & Higgins, D. G. (2011). Fast, scalable generation of high‐quality protein multiple sequence alignments using Clustal Omega. Molecular systems biology, 7(1), 539.	
clustalw	1994; 2007	Nucleic acids research; Bioinformatics	9.112; 4.900	172; 106	52043; 13918	62560; 25617	des higgins:56	des higgins:2.55	des higgins:68	2.06	NA	NA	NA	NA	Thompson, Julie D., Desmond G. Higgins, and Toby J. Gibson. "CLUSTAL W: improving the sensitivity of progressive multiple sequence alignment through sequence weighting, position-specific gap penalties and weight matrix choice." Nucleic acids research 22, no. 22 (1994): 4673-4680.; Larkin, Mark A., Gordon Blackshields, N. P. Brown, R. Chenna, Paul A. McGettigan, Hamish McWilliam, Franck Valentin et al. "Clustal W and Clustal X version 2.0." Bioinformatics 23, no. 21 (2007): 2947-2948.	
cnmops	2012	Nucleic Acids Research	NA	NA	NA	310	NA		Sepp Hochreiter:40	1.38	1	51	2	https://github.com/Bioconductor/copy-number-analysis/wiki/cn.mops	Klambauer G, Schwarzbauer K, Mayr A, Clevert D-A, Mitterecker A, Bodenhofer U, et al. cn.MOPS: mixture of Poissons for discovering copy number variations in next-generation sequencing data with a low false discovery rate. Nucleic Acids Res 2012;40:e69.	
cnvkit	2016	PLoS computational biology	NA	NA	NA	438	NA		NA	NA	1.97	1531	20	https://github.com/etal/cnvkit	Talevich E, Shain AH, Botton T, Bastian BC. CNVkit: genome-wide copy number detection and visualization from targeted DNA sequencing. PLoS computational biology. 2016 Apr 21;12(4):e1004873.	
cnvnator	2011	Genome research	NA	NA	NA	1010	NA		Mark Gerstein:172	5.93	1.41	165	13	https://github.com/abyzovlab/CNVnator	Abyzov A, Urban AE, Snyder M, Gerstein M. CNVnator: an approach to discover, genotype, and characterize typical and atypical CNVs from family and population genome sequencing. Genome research. 2011 Jun 1;21(6):974-84.	
cnvnorm	2012	Bioinformatics	NA	NA	NA	160	NA		Arief Gusnanto:16	0.94	1	NA	NA	NA	Gusnanto A, Wood HM, Pawitan Y, Rabbitts P, Berri S. Correcting for cancer genome size and tumour cell content enables better estimation of copy number alterations from next-generation sequence data. Bioinformatics. 2012 Jan 1;28(1):40-7.	
cnvseq	2009	BMC bioinformatics	NA	NA	NA	531	NA		NA	NA	1	NA	NA	NA	Xie C, Tammi MT. CNV-seq, a new method to detect copy number variation using high-throughput sequencing. BMC bioinformatics. 2009 Dec 1;10(1):80.	
colormap	2016	Bioinformatics	NA	NA	NA	40	NA		Cedric Chauve:29	1.38	1	11	1	https://github.com/sfu-compbio/colormap	Haghshenas E, Hach F, Sahinalp SC, Chauve C. CoLoRMap: correcting long reads by mapping short reads. Bioinformatics. 2016;32:545–51	
combat	2007	Biostatistics	NA	NA	NA	4150	NA		Cheng Li:62	3.10	1	NA	NA	NA	Johnson WE, Li C, Rabinovic A. Adjusting batch effects in microarray expression data using empirical Bayes methods. Biostatistics. 2007 Jan 1;8(1):118-27.	
component	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	
comus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
conifer	2012	Genome research	NA	NA	NA	476	NA		Evan Eichler:167	6.19	1.22	20	1	https://github.com/nkrumm/CoNIFER	Krumm N, Sudmant PH, Ko A, O'Roak BJ, Malig M, Coe BP, Quinlan AR, Nickerson DA, Eichler EE, NHLBI Exome Sequencing Project. Copy number variation detection and genotyping from exome sequence data. Genome research. 2012 Aug 1;22(8):1525-32.	
contextmap	2015	BMC bioinformatics	NA	NA	NA	41	NA		Caroline Friedel:29	1.93	2	NA	NA	NA	Bonfert T, Kirner E, Csaba G, Zimmer R, Friedel CC. ContextMap 2: fast and accurate context-based RNA-seq mapping. BMC bioinformatics. 2015 Dec 1;16(1):122.	
contra	2012	Bioinformatics	NA	NA	NA	254	NA		Jason Li:29	1.81	2.08	NA	NA	NA	Li J, Lupat R, Amarasinghe KC, Thompson ER, Doyle MA, Ryland GL, et al. CONTRA: copy number analysis for targeted resequencing. Bioinformatics. 2012;28:1307–13.	
contralign	2006	Annual International Conference on Research in Computational Molecular Biology 	NA	NA	NA	103	NA		Serafim Batzoglou:60	2.50	2.01	NA	NA	NA	Do CB, Gross SS, Batzoglou S. CONTRAlign: discriminative training for protein sequence alignment. InAnnual International Conference on Research in Computational Molecular Biology 2006 Apr 2 (pp. 160-174). Springer, Berlin, Heidelberg.	
controlfreec	2012	Bioinformatics	NA	NA	NA	523	NA		Valentina Boeva:26	1.63	11.6	62	4	https://github.com/BoevaLab/FREEC	Boeva V, Popova T, Bleakley K, Chiche P, Cappo J, Schleiermacher G, Janoueix-Lerosey I, Delattre O, Barillot E. Control-FREEC: a tool for assessing copy number and allelic content using next-generation sequencing data. Bioinformatics. 2012 Feb 1;28(3):423-5.	
