PubMed ID	Title	accuracySource	accuracyMetric	speedSource	Method	accuracyRank	speedRank	numMethods	Data set (if applicable)	Bias	Acc comment	Speed comment
					CoNIFER	4	3					
		Table 4	Specificity	Fig6	cn.MOPS	1	1	4				
					CoNIFER	2	3					
					CNVkit	3	4					
					ExomeCopy	4	2					
28808243	Comparison of error correction algorithms for Ion Torrent PGM data: application to hepatitis B virus.	Figure 2a	median(gain)	Manuscript text	Karect	5	1	5				
					Blue	2	2					
					Pollux	1	3					
					Coral	4	4					
					Fiona	3	5					
28934964	Comprehensive benchmarking and ensemble approaches for metagenomic classifiers.	Fig1a	F1	Fig7	BlastMegan	1	10	11				
					GOTTCHA	2	4					
					DiamondMegan	3	8					
					MetaPhlan	4	1					
					Kraken	5	3					
					LMAT	6	5					
					MetaFlow	7	6					
					PhyloSift	8	9					
					CLARK-S	9	7					
					CLARK	10	2					
					NBC	11	11					
31324872	Comprehensive evaluation and characterisation of short read general-purpose structural variant calling software.	Fig3	PPV(all calls)	Supp Fig 12(wall)	breakdancer	8	1	9				
					socrates	6	2					
					hydra	7	3					
					manta	2	4					
					gridss	5	5					
					delly	4	6					
					pindel	9	7					
					cortex	3	8					
					crest	1	9					
31159850	Comprehensive evaluation of structural variation detection algorithms for whole genome sequencing.	Fig2a	F-measure	Fig. 5a	1-2-3-SV	29	31	50				Some extra methods were in the timing figure, these were ignored. Also, MetaSV & CNVnator had no times on the plot, so were given the maximum rank. 
					AS-GENSENG	45.5	41					Raw data was not included for either figure, so ranks were extracted manually based upon bar heights.
					BICseq2	32	14.5					
					BreakDancer	24.5	2.5					
					BreakSeek	38	44					
					BreakSeq2	50	7					
					CLEVER	30.5	36.5					
					CNVnator	26.5	49.5					
					Control-FREEC	49	36.5					
					CREST	36.5	43					
					DELLY	16	32					
					ERDS	17.5	27					
					FermiKit	14	46					
					forestSV	24.5	33					
					GASVPro	41	24					
					GenomeSTRiP	22	28.5					
					GRIDSS	1	23					
					Hydra	41	2.5					
					iCopyDAV	45.5	16					
					indelMINER	43.5	11					
					inGAP-sv	6	14.5					
					laSV	47	48					
					Lumpy	4.5	8.5					
					Manta	2.5	39.5					
					MATCHCLIP	11.5	13					
					Meerkat	11.5	19.5					
					MetaSV	14	49.5					
					OncoSNP-Seq	43.5	39.5					
					PBHoney-NGM	36.5	47					
					pbsv	34.5	18					
					PennCNV-Seq	26.5	42					
					Pindel	9	45					
					PRISM	22	38					
					RAPTR	33	12					
					readDepth	39	5					
					Sniffles	10	1					
					Socrates	28	10					
					SoftSearch	19	30					
					SoftSV	7	35					
					SoloDel	48	21					
					Sprites	2.5	22					
					SvABA	14	26					
					SVDetect	34.5	25					
					SVelter	20	28.5					
					SVfinder	41	17					
					SVseq2	4.5	34					
					TIDDIT	22	5					
					Ulysses	17.5	19.5					
					VariationHunter	30.5	5					
					Wham	8	8.5					
31136576	Comprehensively benchmarking applications for detecting copy number variation.	Fig 2a (50x)	TPR	Fig 3a (50x)	Canvas	9	1	10			Error in key for fig2a (Canvas key & figure colours don't match) 	
					cn.MOPS	10	3.5					
					CNVnator	2	3.5					
					Control-FREEC	8	8					
					GROM-RD	3	6					
					iCopyDAV	7	9					
					LUMPY	1	7					
					RDXplorer	5	10					
					ReadDepth	6	2					
					RSICNV	4	5					
		Fig 2b (50x)	FDR	Fig 3a (50x)	Canvas	1	1	10				
					cn.MOPS	4	3.5					
					CNVnator	10	3.5					
					Control-FREEC	8	8					
					GROM-RD	5	6					
					iCopyDAV	6	9					
					LUMPY	2	7					
					RDXplorer	9	10					
					ReadDepth	3	2					
					RSICNV	7	5					
31077315	De novo transcriptome assembly: A comprehensive cross-species comparison of short-read RNA-Seq assemblers.	Table 2	Summarized metric (0,1)-score	Table 3 (median runtime)	Trans-ABySS	1	10	10				
					Trinity	2	8					
					SPAdes-rna	3	2					
					SOAP-Trans	4	1					
					SPAdes-sc	5	3					
					Bridger	6	7					
					Shannon	7	6					
					IDBA-Tran	8	4					
					BinPacker	9	5					
					Oases	10	9					
31015787	Estimating the <i>k</i>-mer Coverage Frequencies in Genomic Datasets: A Comparative Assessment of the State-of-the-art.	Table 6	F0 Error% (k=25)	Table A2 (k = 25)	DSK	1	2	5				
					ntCard	2	1					
					KmerGenie	3	5					
					Khmer	4	4					
					KmerStreame	5	3					
30329135	Evaluating Statistical Multiple Sequence Alignment in Comparison to Other Alignment Methods on Protein Data Sets.	S2-supplementary_information. Table: Summary - Protein Data	Total SP-Score (recall)	TABLE 3.	BAli-Phy	10	12	12			NB: Kalign & MAFFT Homologs were removed, as no timing data is provided for these in Table 3	
					Clustal	9	4					
					Contralign	3	8					
					DiAlign	11	1					
					MAFFT-G-INS-i	6	5					
					MUSCLE	8	3					
					PRANK	12	9					
					PRIME	7	2					
					Probalign	5	6					
					PROBCONS	4	7					
					PROMALS	1	10					
					T-COFFEE	2	11					
		S2-supplementary_information. Table: Summary - Protein Data	Total Modeler Score (precision)	TABLE 3.	BAli-Phy	1	12	12			NB: Kalign & MAFFT Homologs were removed, as no timing data is provided for these in Table 3	
					Clustal	8	4					
					Contralign	5	8					
					DiAlign	10	1					
					MAFFT-G-INS-i	7	5					
					MUSCLE	11	3					
					PRANK	12	9					
					PRIME	9	2					
					Probalign	6	6					
					PROBCONS	4	7					
					PROMALS	3	10					
					T-COFFEE	2	11					
31080946		Table 2b, All 	AP (adjacency precision)	Figure 4b (500)	CG	1	2	4				
					ChiSquare	3	3					
					FisherZ	2	1					
					MultinomialLRT	4	4					
		Table 2b, All 	AP (adjacency recall)	Figure 4b (500)	CG	3	2	4				
					ChiSquare	2	3					
					FisherZ	4	1					
					MultinomialLRT	1	4					
26628557	Evaluation of preprocessing, mapping and postprocessing algorithms for analyzing whole genome bisulfite sequencing data.	Figure 2B. Mott trimming	Sensitivity 	Table 3. single+paired	Bismark-bowtie-l28	4	4				Bismark (Bowtie2, L20) appears to be missing from the figure. 	
					Bismark-bowtie-l50	6	3					
					Bismark-bowtie2-L22	4	6					
					BRAT-BW	7	2					
					BSMAP	2	1					
					GSNAP	4	7					
					LAST	1	5					
		Figure 2B. Mott trimming	Error rate 	Table 3. single+paired	Bismark-bowtie-l28	4.5	4					
					Bismark-bowtie-l50	3	3					
					Bismark-bowtie2-L22	4.5	6					
					BRAT-BW	1	2					
					BSMAP	6	1					
					GSNAP	7	7					
					LAST	2	5					
29568413	Performance evaluation method for read mapping tool in clinical panel sequencing.	Fig. 3	AU-ROC	Fig. 4 (median)	BatAlign	7	4.5	8				Used a ruler to estimate median runtime. :-/
					Bowtie2	1	4.5					
					BWA-MEM	2	3					
					BWA-PSSM	3	6					
					CUSHAW3	4	7.5					
					Kart	5	1					
					NextGenMap	6	7.5					
					NovoAlign	8	2					
31907445	Benchmarking algorithms for gene regulatory network inference from single-cell transcriptomic data	Supplementary Figure 5	Median AUROC (mCAD Network, 0 Dropout Rate)	Supplementary Figure 7 (#GENES=500)	GENIE	7	7.5	11				SCNS missing from the time figure, therefore removed from ranks. 
					GRISL	1	7.5					
					GRNBoost	10	6					
					GRNVBEM	11	10					
					LEAP	5	2					
					PIDC	7	3					
					PPCOR	9	1					
					SCODE	2	5					
					SCRIBE	7	9					
					SINCERITIES	4	4					
					SINGE	3	11					
27941783	Simulation-based comprehensive benchmarking of RNA-seq aligners.	Supplementary Figure 2	 percentage of bases aligned correctly (human, T3)	Supplementary Figure 15.  (human, T3)	ContextMap2	6	7	13				CLC is missing from the time figure, therefore removed from ranks. 
					CRAC	8	5					
					GSNAP	2	11					
					HISAT	12	1					
					HISAT2	10	2					
					MapSplice2	4	6					
					Novoalign	1	8					
					Olego	11	13					
					RUM	5	12					
					SOAPSPLICE	7	9					
					STAR	3	4					
					SUBREAD	9	3					
					TOPHAT2	13	10					
		Supplementary Figure 2	 percentage of bases aligned correctly (malaria, T3)	Supplementary Figure 15. (malaria, T3)	ContextMap2	7	10	13				CLC is missing from the time figure, therefore removed from ranks. 
					CRAC	6	5					
					GSNAP	2	13					
					HISAT	12	1					
					HISAT2	11	2					
					MapSplice2	3	6					
					Novoalign	1	4					
					Olego	10	7					
					RUM	5	9					
					SOAPSPLICE	8	12					
					STAR	4	11					
					SUBREAD	9	3					
					TOPHAT2	13	8					
31948481	A Benchmark of Batch-Effect Correction Methods for Single-Cell RNA Sequencing Data	Additional file 8	Sum of "final_rank" values 	Fig. 21c	ComBat	11	3	13				Time ranks were estimated from the shades of the points. 
					fastMNN	8	4.5					
					Harmony	1	1					
					LIGER	2	9.5					
					limma	13	2					
					MMD-ResNet	12	9.5					
					MNN-Correct	9	11					
					Scanorama	5	6.5					
					scGen	4	12					
					scMerge	6	8					
					Seurat2	7	6.5					
					Seurat3	3	4.5					
					ZINB-WaVE	10	13					
26862001	Comparative assessment of methods for the fusion transcripts detection from RNA-Seq data	Table 3	Sensitivity 	Table 3	Bellerophontes	5	4	8				
					EricScript	2	2					
					FusionCatcher	6	3					
					FusionMap	4	1					
					JAFFA	8	8					
					MapSplice	1	7					
					nFuse	3	5					
					TopHat-Fusion	7	6					
		Table 3	PPV	Table 3	Bellerophontes	6	4	8				
					EricScript	2	2					
					FusionCatcher	2	3					
					JAFFA	4	8					
					MapSplice	8	7					
					nFuse	5	5					
					TopHat-Fusion	2	6					
26778510	An evaluation of the accuracy and speed of metagenome analysis tools	Table 1	Pearson Correlation Coefficient	Table 1	CLARK	1	6	14				
					EBI	13	13					
					Genometa	8	8					
					GOTTCHA	14	7					
					Kraken	2	4					
					LMAT	5	9					
					MEGAN	12	10					
					MetaPhlAn	4	5					
					MetaPhyler	10	14					
					MG-RAST	7	12					
					mOTU	6	3					
					One Codex	3	2					
					QIIME	11	1					
					Taxator-tk	9	11					
		Table 2	MCC	Table 1	CLARK	1	6	14				
					EBI	14	13					
					Genometa	7	8					
					GOTTCHA	5	7					
					Kraken	3	4					
					LMAT	8	9					
					MEGAN	6	10					
					MetaPhlAn	10	5					
					MetaPhyler	11	14					
					MG-RAST	4	12					
					mOTU	12	3					
					One Codex	2	2					
					QIIME	13	1					
					Taxator-tk	9	11					
		Table 2	SEN	Table 1	CLARK	1	6	14				
					EBI	13	13					
					Genometa	9	8					
					GOTTCHA	7	7					
					Kraken	3	4					
					LMAT	5	9					
					MEGAN	6	10					
					MetaPhlAn	10	5					
					MetaPhyler	11	14					
					MG-RAST	4	12					
					mOTU	12	3					
					One Codex	2	2					
					QIIME	14	1					
					Taxator-tk	8	11					
		Table 2	SPEC	Table 1	CLARK	12	6	14				
					EBI	8	13					
					Genometa	11	8					
					GOTTCHA	3	7					
					Kraken	3	4					
					LMAT	14	9					
					MEGAN	10	10					
					MetaPhlAn	3	5					
					MetaPhyler	6.5	14					
					MG-RAST	9	12					
					mOTU	3	3					
					One Codex	6.5	2					
					QIIME	3	1					
					Taxator-tk	13	11					
		Figure 2	logOddsGenus	Table 1	CLARK	2	6	14				
					EBI	8	13					
					Genometa	11	8					
					GOTTCHA	14	7					
					Kraken	1	4					
					LMAT	4	9					
					MEGAN	7	10					
					MetaPhlAn	5	5					
					MetaPhyler	12	14					
					MG-RAST	10	12					
					mOTU	6	3					
					One Codex	3	2					
					QIIME	9	1					
					Taxator-tk	13	11					
		Figure 2	logOddsPhylum	Table 1	CLARK	1	6	14				
					EBI	10	13					
					Genometa	8	8					
					GOTTCHA	14	7					
					Kraken	2	4					
					LMAT	4	9					
					MEGAN	12	10					
					MetaPhlAn	6	5					
					MetaPhyler	11	14					
					MG-RAST	5	12					
					mOTU	7	3					
					One Codex	3	2					
					QIIME	9	1					
					Taxator-tk	13	11					
26220471	Evaluation of variant detection software for pooled next-generation sequence data	Figure 1B	Balanced accuracy	Table 3	CRISP	2	1	5				
					GATK	1	5					
					LoFreq	3	2.5					
					SNVer	4	2.5					
					VarScan	5	4					
25777524	WGBSSuite: simulating whole-genome bisulphite sequencing data and benchmarking differential DNA methylation analysis tools	Figure 2	AUC	Figure 2	BSmooth	1	2	4				
					Fisher exact test	4	4					
					MethylKit	3	1					
					MethylSig	2	3					
25760244	An assessment of bacterial small RNA target prediction programs.	Table 1.	AUC	Table 3.	CopraRNA	1	8	9				
					IntaRNA	2	6					
					RNAup	3	5					
					RNAplex	4	1.5					
					TargetRNA2	5	1.5					
					RNAhybrid	6	3					
					RNAduplex	7	7					
					RNAcofold	8	4					
					Pairfold	9	9					
