logOdds	traingFreq	backgroundFreq	word
-5.06	0.0000	0.0003	biosynthesis
-5.06	0.0000	0.0003	parallel
-5.06	0.0000	0.0003	pathogen
-5.06	0.0000	0.0003	crucial
-5.05	0.0000	0.0003	rare
-5.05	0.0000	0.0003	disorders
-5.05	0.0000	0.0003	downregulated
-5.04	0.0000	0.0003	recognition
-5.04	0.0000	0.0003	content
-5.04	0.0000	0.0003	activated
-5.03	0.0000	0.0003	epithelial
-5.02	0.0000	0.0003	mutant
-5.02	0.0000	0.0003	annotated
-5.02	0.0000	0.0003	plasma
-5.01	0.0000	0.0003	caused
-5.00	0.0000	0.0003	project
-5.00	0.0000	0.0003	chip
-5.00	0.0000	0.0003	exome
-4.99	0.0000	0.0003	lipid
-4.99	0.0000	0.0003	dimensional
-4.98	0.0000	0.0003	energy
-4.98	0.0000	0.0003	downstream
-4.98	0.0000	0.0003	encoded
-4.97	0.0000	0.0003	despite
-4.97	0.0000	0.0003	relationship
-4.97	0.0000	0.0003	relationships
-4.97	0.0000	0.0003	polymerase
-4.96	0.0000	0.0003	chronic
-4.96	0.0000	0.0003	vector
-4.95	0.0000	0.0003	located
-4.95	0.0000	0.0003	activities
-4.95	0.0000	0.0003	prostate
-4.94	0.0000	0.0003	synthesis
-4.94	0.0000	0.0003	aimed
-4.93	0.0000	0.0003	array
-4.93	0.0000	0.0003	server
-4.92	0.0000	0.0003	phenotypes
-4.92	0.0000	0.0003	annotations
-4.92	0.0000	0.0003	molecule
-4.91	0.0000	0.0003	chinese
-4.91	0.0000	0.0003	powerful
-4.90	0.0000	0.0003	workflow
-4.89	0.0000	0.0003	exon
-4.89	0.0000	0.0003	detailed
-4.89	0.0000	0.0003	translation
-4.89	0.0000	0.0003	reverse
-4.88	0.0000	0.0003	regulators
-4.88	0.0000	0.0003	alterations
-4.87	0.0000	0.0003	receptors
-4.87	0.0000	0.0003	transcript
-4.87	0.0000	0.0003	linear
-4.86	0.0000	0.0003	example
-4.86	0.0000	0.0003	disorder
-4.86	0.0000	0.0003	resistant
-4.86	0.0000	0.0003	requires
-4.85	0.0000	0.0003	pathogens
-4.85	0.0000	0.0003	contains
-4.84	0.0000	0.0003	injury
-4.83	0.0000	0.0003	libraries
-4.82	0.0000	0.0003	component
-4.82	0.0000	0.0003	characterize
-4.82	0.0000	0.0003	resulted
-4.82	0.0000	0.0003	responsible
-4.81	0.0000	0.0003	products
-4.81	0.0000	0.0003	address
-4.79	0.0000	0.0003	lncrnas
-4.79	0.0000	0.0003	modules
-4.79	0.0000	0.0003	sources
-4.78	0.0000	0.0003	physiological
-4.78	0.0000	0.0003	associations
-4.77	0.0000	0.0003	antibodies
-4.77	0.0000	0.0003	blot
-4.77	0.0000	0.0003	series
-4.77	0.0000	0.0003	rats
-4.76	0.0000	0.0003	populations
-4.76	0.0000	0.0003	syndrome
-4.76	0.0000	0.0003	antigen
-4.76	0.0000	0.0003	mrnas
-4.75	0.0000	0.0003	variations
-4.75	0.0000	0.0003	transport
-4.74	0.0000	0.0003	experimentally
-4.74	0.0000	0.0003	ligand
-4.73	0.0000	0.0003	tandem
-4.72	0.0000	0.0003	abundance
-4.72	0.0000	0.0003	interpretation
-4.72	0.0000	0.0003	isolates
-4.71	0.0000	0.0003	exposure
-4.71	0.0000	0.0003	complexes
-4.71	0.0000	0.0003	colorectal
-4.70	0.0000	0.0003	modification
-4.70	0.0000	0.0003	regulator
-4.70	0.0000	0.0003	predictive
-4.70	0.0000	0.0003	includes
-4.70	0.0000	0.0003	inflammation
-4.70	0.0000	0.0002	emerging
-4.70	0.0000	0.0002	sensitive
-4.70	0.0000	0.0002	copy
-4.70	0.0000	0.0002	cardiac
-4.69	0.0000	0.0002	seven
-4.68	0.0000	0.0002	management
-4.68	0.0000	0.0002	replication
-4.68	0.0000	0.0002	rapidly
-4.68	0.0000	0.0002	frequency
-4.67	0.0000	0.0002	successfully
-4.67	0.0000	0.0002	localization
-4.66	0.0000	0.0002	knockdown
-4.66	0.0000	0.0002	space
-4.65	0.0000	0.0002	area
-4.65	0.0000	0.0002	prognosis
-4.64	0.0000	0.0002	inhibitors
-4.64	0.0000	0.0002	susceptibility
-4.64	0.0000	0.0002	stability
-4.64	0.0000	0.0002	regulates
-4.63	0.0000	0.0002	modifications
-4.63	0.0000	0.0002	genetics
-4.63	0.0000	0.0002	humans
-4.63	0.0000	0.0002	endothelial
-4.62	0.0000	0.0002	implicated
-4.62	0.0000	0.0002	meta
-4.62	0.0000	0.0002	laboratory
-4.62	0.0000	0.0002	acute
-4.62	0.0000	0.0002	prognostic
-4.61	0.0000	0.0002	enable
-4.60	0.0000	0.0002	majority
-4.60	0.0000	0.0002	escherichia
-4.59	0.0000	0.0002	signatures
-4.58	0.0000	0.0002	suppressor
-4.58	0.0000	0.0002	indicating
-4.56	0.0000	0.0002	chromatin
-4.56	0.0000	0.0002	https
-4.56	0.0000	0.0002	extracted
-4.56	0.0000	0.0002	affinity
-4.55	0.0000	0.0002	integrative
-4.54	0.0000	0.0002	quantification
-4.53	0.0000	0.0002	adhesion
-4.53	0.0000	0.0002	endogenous
-4.53	0.0000	0.0002	epigenetic
-4.53	0.0000	0.0002	medical
-4.53	0.0000	0.0002	term
-4.52	0.0000	0.0002	efforts
-4.52	0.0000	0.0002	closely
-4.52	0.0000	0.0002	culture
-4.52	0.0000	0.0002	signature
-4.52	0.0000	0.0002	engineering
-4.52	0.0000	0.0002	stable
-4.51	0.0000	0.0002	science
-4.51	0.0000	0.0002	glioma
-4.50	0.0000	0.0002	heterogeneous
-4.50	0.0000	0.0002	traits
-4.50	0.0000	0.0002	virulence
-4.50	0.0000	0.0002	allowing
-4.49	0.0000	0.0002	easily
-4.49	0.0000	0.0002	agents
-4.48	0.0000	0.0002	epitope
-4.47	0.0000	0.0002	pancreatic
-4.46	0.0000	0.0002	cohort
-4.46	0.0000	0.0002	means
-4.46	0.0000	0.0002	solution
-4.45	0.0000	0.0002	hypothesis
-4.45	0.0000	0.0002	computer
-4.45	0.0000	0.0002	stat
-4.44	0.0000	0.0002	integrating
-4.44	0.0000	0.0002	damage
-4.44	0.0000	0.0002	residue
-4.44	0.0000	0.0002	verified
-4.44	0.0000	0.0002	mammalian
-4.44	0.0000	0.0002	informatics
-4.44	0.0000	0.0002	beta
-4.44	0.0000	0.0002	friendly
-4.44	0.0000	0.0002	kegg
-4.44	0.0000	0.0002	examples
-4.44	0.0000	0.0002	valuable
-4.43	0.0000	0.0002	nsclc
-4.43	0.0000	0.0002	driven
-4.43	0.0000	0.0002	strongly
-4.43	0.0000	0.0002	eukaryotic
-4.43	0.0000	0.0002	programming
-4.43	0.0000	0.0002	involving
-4.42	0.0000	0.0002	status
-4.42	0.0000	0.0002	specimens
-4.42	0.0000	0.0002	intracellular
-4.42	0.0000	0.0002	adult
-4.41	0.0000	0.0002	areas
-4.41	0.0000	0.0002	contrast
-4.41	0.0000	0.0002	kidney
-4.40	0.0000	0.0002	bayesian
-4.40	0.0002	0.0046	cancer
-4.39	0.0000	0.0002	enables
-4.39	0.0000	0.0002	catalytic
-4.39	0.0000	0.0002	analytical
-4.39	0.0000	0.0002	distributed
-4.38	0.0000	0.0002	bone
-4.38	0.0000	0.0002	member
-4.38	0.0000	0.0002	untranslated
-4.37	0.0000	0.0002	loop
-4.37	0.0000	0.0002	metagenomic
-4.37	0.0000	0.0002	discussed
-4.37	0.0000	0.0002	subsequently
-4.36	0.0000	0.0002	docking
-4.36	0.0000	0.0002	bound
-4.36	0.0000	0.0002	parasite
-4.35	0.0000	0.0002	tuberculosis
-4.35	0.0000	0.0002	metabolites
-4.35	0.0000	0.0002	yeast
-4.35	0.0000	0.0002	secretion
-4.34	0.0000	0.0002	alpha
-4.34	0.0000	0.0002	silencing
-4.34	0.0000	0.0002	lncrna
-4.34	0.0000	0.0002	antigens
-4.34	0.0000	0.0002	interacting
-4.34	0.0000	0.0002	allele
-4.33	0.0000	0.0002	subjects
-4.33	0.0000	0.0002	screened
-4.33	0.0000	0.0002	isoforms
-4.32	0.0000	0.0002	issues
-4.32	0.0000	0.0002	seed
-4.32	0.0000	0.0002	body
-4.32	0.0000	0.0002	substrates
-4.31	0.0000	0.0002	causes
-4.31	0.0000	0.0002	pathological
-4.31	0.0000	0.0002	paired
-4.30	0.0000	0.0002	pipelines
-4.30	0.0000	0.0002	organization
-4.30	0.0000	0.0002	outcome
-4.30	0.0000	0.0002	phenotypic
-4.30	0.0000	0.0002	transition
-4.30	0.0000	0.0002	transmembrane
-4.29	0.0000	0.0002	leukemia
-4.29	0.0000	0.0002	organism
-4.29	0.0000	0.0002	genotypes
-4.28	0.0000	0.0002	bladder
-4.27	0.0000	0.0002	induction
-4.27	0.0000	0.0002	issue
-4.27	0.0000	0.0002	accessible
-4.27	0.0000	0.0002	histone
-4.27	0.0000	0.0002	oxidative
-4.27	0.0000	0.0002	male
-4.27	0.0000	0.0002	personalized
-4.27	0.0000	0.0002	github
-4.26	0.0000	0.0002	matched
-4.26	0.0000	0.0002	salt
-4.26	0.0000	0.0002	named
-4.25	0.0000	0.0002	vascular
-4.25	0.0000	0.0002	initial
-4.25	0.0000	0.0002	hormone
-4.25	0.0000	0.0002	bind
-4.25	0.0000	0.0002	capable
-4.24	0.0000	0.0002	somatic
-4.24	0.0000	0.0002	promote
-4.24	0.0000	0.0002	inhibit
-4.24	0.0000	0.0002	classified
-4.23	0.0000	0.0002	guide
-4.23	0.0000	0.0002	subunit
-4.23	0.0000	0.0002	index
-4.23	0.0000	0.0002	construct
-4.22	0.0000	0.0002	examine
-4.22	0.0000	0.0002	workflows
-4.22	0.0000	0.0002	purified
-4.22	0.0000	0.0002	skeletal
-4.22	0.0000	0.0002	successful
-4.22	0.0000	0.0002	sirna
-4.22	0.0000	0.0002	infectious
-4.21	0.0000	0.0002	folding
-4.21	0.0000	0.0002	action
-4.21	0.0000	0.0002	involvement
-4.21	0.0000	0.0002	blotting
-4.20	0.0000	0.0002	infections
-4.20	0.0000	0.0002	insulin
-4.20	0.0000	0.0002	versus
-4.20	0.0000	0.0002	identifies
-4.20	0.0000	0.0002	worldwide
-4.20	0.0000	0.0002	kinases
-4.20	0.0000	0.0002	adjacent
-4.19	0.0000	0.0002	product
-4.19	0.0000	0.0002	transfection
-4.18	0.0000	0.0002	exposed
-4.18	0.0000	0.0002	storage
-4.17	0.0000	0.0002	polymorphism
-4.17	0.0000	0.0002	statistics
-4.17	0.0000	0.0002	modified
-4.17	0.0000	0.0002	abundant
-4.17	0.0000	0.0002	therapies
-4.17	0.0000	0.0002	qpcr
-4.17	0.0004	0.0077	expression
-4.17	0.0000	0.0002	microarrays
-4.17	0.0000	0.0002	hepatocellular
-4.17	0.0000	0.0002	mature
-4.17	0.0000	0.0002	transfected
-4.17	0.0000	0.0002	compound
-4.16	0.0000	0.0002	dominant
-4.16	0.0000	0.0002	panel
-4.16	0.0000	0.0002	reduce
-4.16	0.0000	0.0002	influenza
-4.16	0.0000	0.0002	enhance
-4.16	0.0000	0.0002	module
-4.16	0.0000	0.0002	responsive
-4.15	0.0000	0.0002	regression
-4.15	0.0000	0.0002	indicates
-4.15	0.0000	0.0002	exhibited
-4.15	0.0000	0.0002	cloned
-4.14	0.0000	0.0002	lysine
-4.14	0.0000	0.0002	severe
-4.14	0.0000	0.0002	peripheral
-4.14	0.0000	0.0002	promotes
-4.14	0.0000	0.0002	variable
-4.14	0.0000	0.0002	subtypes
-4.13	0.0000	0.0002	codon
-4.13	0.0000	0.0002	contact
-4.13	0.0000	0.0002	tolerance
-4.13	0.0000	0.0002	self
-4.13	0.0000	0.0002	transduction
-4.13	0.0000	0.0002	vaccines
-4.12	0.0000	0.0002	absence
-4.12	0.0000	0.0002	contained
-4.11	0.0000	0.0002	downregulation
-4.11	0.0000	0.0002	integrate
-4.11	0.0000	0.0002	secreted
-4.11	0.0000	0.0002	extended
-4.11	0.0000	0.0002	mapk
-4.11	0.0000	0.0002	approximately
-4.10	0.0000	0.0002	amplification
-4.10	0.0000	0.0002	glucose
-4.10	0.0000	0.0002	reading
-4.10	0.0000	0.0002	protocol
-4.10	0.0000	0.0002	difference
-4.09	0.0000	0.0002	confirm
-4.09	0.0000	0.0002	cleavage
-4.09	0.0000	0.0002	cloning
-4.09	0.0000	0.0002	gwas
-4.09	0.0000	0.0002	interactive
-4.09	0.0000	0.0002	calcium
-4.09	0.0000	0.0002	dysregulated
-4.08	0.0000	0.0002	created
-4.08	0.0000	0.0002	microbiota
-4.07	0.0000	0.0002	inhibits
-4.07	0.0000	0.0002	repair
-4.07	0.0000	0.0002	dual
-4.07	0.0000	0.0002	glycosylation
-4.07	0.0000	0.0002	decrease
-4.07	0.0000	0.0002	transcriptomic
-4.07	0.0000	0.0002	capture
-4.07	0.0000	0.0002	points
-4.07	0.0000	0.0002	classical
-4.06	0.0000	0.0002	invasive
-4.06	0.0000	0.0002	weight
-4.06	0.0000	0.0002	signalling
-4.06	0.0000	0.0002	dose
-4.06	0.0000	0.0002	graphical
-4.06	0.0000	0.0002	utilized
-4.05	0.0000	0.0002	missense
-4.05	0.0000	0.0002	suppressed
-4.05	0.0000	0.0002	helix
-4.05	0.0000	0.0002	students
-4.04	0.0000	0.0002	root
-4.04	0.0000	0.0002	malignant
-4.04	0.0000	0.0002	metastatic
-4.04	0.0000	0.0002	density
-4.03	0.0000	0.0002	contributes
-4.03	0.0000	0.0002	mutants
-4.02	0.0000	0.0002	fatty
-4.02	0.0000	0.0002	searches
-4.02	0.0000	0.0002	autophagy
-4.01	0.0000	0.0002	mesenchymal
-4.01	0.0000	0.0002	accumulation
-4.00	0.0000	0.0002	cervical
-4.00	0.0000	0.0002	illustrate
-4.00	0.0000	0.0002	phage
-4.00	0.0000	0.0002	flow
-3.99	0.0000	0.0001	elevated
-3.99	0.0000	0.0001	reports
-3.99	0.0000	0.0001	represented
-3.99	0.0000	0.0001	discover
-3.99	0.0000	0.0001	negatively
-3.99	0.0000	0.0001	embryonic
-3.99	0.0000	0.0001	splice
-3.98	0.0000	0.0001	locus
-3.98	0.0000	0.0001	complementary
-3.98	0.0000	0.0001	efficacy
-3.98	0.0000	0.0001	improving
-3.98	0.0000	0.0001	classifier
-3.98	0.0000	0.0001	signals
-3.98	0.0000	0.0001	supported
-3.98	0.0000	0.0001	induce
-3.98	0.0000	0.0001	original
-3.98	0.0000	0.0001	typically
-3.98	0.0000	0.0001	toxicity
-3.98	0.0000	0.0001	outcomes
-3.98	0.0000	0.0001	aberrant
-3.98	0.0000	0.0001	calling
-3.97	0.0000	0.0001	colon
-3.97	0.0000	0.0001	promoted
-3.97	0.0000	0.0001	spectra
-3.97	0.0000	0.0001	biosynthetic
-3.97	0.0000	0.0001	determining
-3.97	0.0000	0.0001	renal
-3.97	0.0000	0.0001	origin
-3.96	0.0000	0.0001	services
-3.96	0.0000	0.0001	diabetes
-3.95	0.0000	0.0001	suppression
-3.95	0.0000	0.0001	biologically
-3.95	0.0000	0.0001	neural
-3.95	0.0000	0.0001	immunity
-3.95	0.0000	0.0001	architecture
-3.95	0.0000	0.0001	encode
-3.94	0.0000	0.0001	wheat
-3.94	0.0000	0.0001	clinically
-3.93	0.0000	0.0001	native
-3.92	0.0000	0.0001	confidence
-3.92	0.0000	0.0001	tumorigenesis
-3.92	0.0000	0.0001	concept
-3.92	0.0000	0.0001	crystal
-3.92	0.0000	0.0001	oral
-3.91	0.0000	0.0001	concepts
-3.91	0.0000	0.0001	million
-3.91	0.0000	0.0001	studying
-3.91	0.0000	0.0001	bias
-3.91	0.0000	0.0001	nodes
-3.91	0.0000	0.0001	analysed
-3.90	0.0000	0.0001	upregulation
-3.90	0.0000	0.0001	plasmid
-3.90	0.0000	0.0001	oxygen
-3.89	0.0000	0.0001	subcellular
-3.89	0.0000	0.0001	hybridization
-3.89	0.0000	0.0001	identity
-3.89	0.0000	0.0001	haplotype
-3.89	0.0000	0.0001	showing
-3.89	0.0000	0.0001	omnibus
-3.88	0.0000	0.0001	reactions
-3.88	0.0000	0.0001	promoters
-3.88	0.0000	0.0001	osteosarcoma
-3.87	0.0000	0.0001	frame
-3.87	0.0000	0.0001	cytokine
-3.87	0.0000	0.0001	treatments
-3.87	0.0000	0.0001	toxin
-3.87	0.0000	0.0001	alleles
-3.87	0.0000	0.0001	directed
-3.87	0.0000	0.0001	aging
-3.86	0.0000	0.0001	hepatitis
-3.86	0.0000	0.0001	microbiome
-3.86	0.0000	0.0001	phosphate
-3.86	0.0000	0.0001	fetal
-3.86	0.0000	0.0001	language
-3.86	0.0000	0.0001	tumour
-3.86	0.0000	0.0001	melanoma
-3.86	0.0000	0.0001	combinations
-3.86	0.0000	0.0001	glioblastoma
-3.85	0.0000	0.0001	occur
-3.85	0.0000	0.0001	concentration
-3.85	0.0000	0.0001	spatial
-3.85	0.0000	0.0001	primarily
-3.85	0.0000	0.0001	topology
-3.85	0.0000	0.0001	canonical
-3.85	0.0000	0.0001	behavior
-3.85	0.0000	0.0001	around
-3.85	0.0000	0.0001	importantly
-3.84	0.0000	0.0001	hypoxia
-3.84	0.0000	0.0001	period
-3.84	0.0000	0.0001	fibrosis
-3.84	0.0000	0.0001	producing
-3.84	0.0000	0.0001	pathology
-3.84	0.0000	0.0001	diagnostics
-3.84	0.0000	0.0001	neurons
-3.83	0.0000	0.0001	oncogenic
-3.83	0.0000	0.0001	hierarchical
-3.83	0.0000	0.0001	location
-3.83	0.0000	0.0001	macrophages
-3.82	0.0000	0.0001	determination
-3.82	0.0000	0.0001	subjected
-3.82	0.0000	0.0001	exons
-3.82	0.0000	0.0001	heat
-3.82	0.0000	0.0001	curated
-3.82	0.0000	0.0001	sperm
-3.82	0.0000	0.0001	fraction
-3.81	0.0000	0.0001	displayed
-3.81	0.0000	0.0001	nucleic
-3.81	0.0000	0.0001	preparation
-3.81	0.0000	0.0001	homeostasis
-3.81	0.0000	0.0001	substantial
-3.81	0.0000	0.0001	supports
-3.81	0.0000	0.0001	pathogenicity
-3.81	0.0000	0.0001	innate
-3.80	0.0000	0.0001	sera
-3.80	0.0000	0.0001	enabling
-3.80	0.0000	0.0001	women
-3.80	0.0000	0.0001	interact
-3.79	0.0000	0.0001	build
-3.79	0.0000	0.0001	bioconductor
-3.78	0.0000	0.0001	optimized
-3.78	0.0000	0.0001	involves
-3.78	0.0000	0.0001	investigations
-3.77	0.0000	0.0001	controlling
-3.77	0.0000	0.0001	synthase
-3.77	0.0000	0.0001	cardiovascular
-3.77	0.0000	0.0001	precise
-3.76	0.0000	0.0001	simultaneously
-3.76	0.0000	0.0001	editing
-3.76	0.0000	0.0001	transcriptomics
-3.76	0.0000	0.0001	throughout
-3.75	0.0000	0.0001	radiation
-3.75	0.0000	0.0001	onset
-3.75	0.0000	0.0001	element
-3.74	0.0000	0.0001	metal
-3.74	0.0000	0.0001	adenocarcinoma
-3.74	0.0000	0.0001	reactive
-3.74	0.0000	0.0001	maps
-3.74	0.0000	0.0001	expressing
-3.74	0.0000	0.0001	adaptation
-3.73	0.0000	0.0001	amplified
-3.72	0.0000	0.0001	overexpressed
-3.72	0.0000	0.0001	filtering
-3.72	0.0000	0.0001	antibiotic
-3.72	0.0000	0.0001	zinc
-3.72	0.0000	0.0001	mutagenesis
-3.72	0.0000	0.0001	elisa
-3.71	0.0000	0.0001	condition
-3.71	0.0000	0.0001	label
-3.71	0.0000	0.0001	fungi
-3.71	0.0000	0.0001	occurrence
-3.71	0.0000	0.0001	display
-3.70	0.0000	0.0001	composed
-3.70	0.0000	0.0001	laboratories
-3.70	0.0000	0.0001	conformational
-3.70	0.0000	0.0001	angiogenesis
-3.70	0.0000	0.0001	tyrosine
-3.70	0.0000	0.0001	european
-3.69	0.0000	0.0001	python
-3.69	0.0000	0.0001	highlights
-3.69	0.0000	0.0001	chromosomal
-3.69	0.0000	0.0001	cultured
-3.69	0.0000	0.0001	double
-3.69	0.0000	0.0001	clustered
-3.68	0.0000	0.0001	protective
-3.68	0.0000	0.0001	node
-3.68	0.0000	0.0001	enzymatic
-3.68	0.0000	0.0001	atlas
-3.68	0.0000	0.0001	brca
-3.68	0.0000	0.0001	automatically
-3.68	0.0000	0.0001	neuronal
-3.68	0.0000	0.0001	technical
-3.68	0.0000	0.0001	mode
-3.68	0.0000	0.0001	developments
-3.68	0.0000	0.0001	failure
-3.68	0.0000	0.0001	aggregation
