testId	accuracyRank	speedRank	method
25198770:Fig2BEcoliSAKAIMis2x250bp:Misassemblies:Fig3A	0.500	0.625	abyss
25198770:Fig2BEcoliSAKAIMis2x250bp:Misassemblies:Fig3A	0.875	1.000	clc
25198770:Fig2BEcoliSAKAIMis2x250bp:Misassemblies:Fig3A	0.000	0.750	soap
25198770:Fig2BEcoliSAKAIMis2x250bp:Misassemblies:Fig3A	0.125	0.875	velvet
25198770:Fig2BEcoliSAKAIMis2x250bp:Misassemblies:Fig3A	1.000	0.250	spades
25198770:Fig2BEcoliSAKAIMis2x250bp:Misassemblies:Fig3A	0.750	0.000	celera
25198770:Fig2BEcoliSAKAIMis2x250bp:Misassemblies:Fig3A	0.375	0.500	newbler
25198770:Fig2BEcoliSAKAIMis2x250bp:Misassemblies:Fig3A	0.625	0.375	seqman
25198770:Fig2BEcoliSAKAIMis2x250bp:Misassemblies:Fig3A	0.250	0.125	mira
25198770:Fig2AMtuberculosisH37Mis2x250bp:NGA50:Fig3A	0.375	0.500	abyss
25198770:Fig2AMtuberculosisH37Mis2x250bp:NGA50:Fig3A	0.625	1.000	clc
25198770:Fig2AMtuberculosisH37Mis2x250bp:NGA50:Fig3A	0.500	0.750	soap
25198770:Fig2AMtuberculosisH37Mis2x250bp:NGA50:Fig3A	0.188	0.875	velvet
25198770:Fig2AMtuberculosisH37Mis2x250bp:NGA50:Fig3A	0.750	0.000	spades
25198770:Fig2AMtuberculosisH37Mis2x250bp:NGA50:Fig3A	1.000	0.250	celera
25198770:Fig2AMtuberculosisH37Mis2x250bp:NGA50:Fig3A	0.875	0.625	newbler
25198770:Fig2AMtuberculosisH37Mis2x250bp:NGA50:Fig3A	0.188	0.375	seqman
25198770:Fig2AMtuberculosisH37Mis2x250bp:NGA50:Fig3A	0.000	0.125	mira
25198770:Fig2BMtuberculosisH37Mis2x250bp:Misassemblies:Fig3A	0.750	0.500	abyss
25198770:Fig2BMtuberculosisH37Mis2x250bp:Misassemblies:Fig3A	0.875	1.000	clc
25198770:Fig2BMtuberculosisH37Mis2x250bp:Misassemblies:Fig3A	0.000	0.750	soap
25198770:Fig2BMtuberculosisH37Mis2x250bp:Misassemblies:Fig3A	0.125	0.875	velvet
25198770:Fig2BMtuberculosisH37Mis2x250bp:Misassemblies:Fig3A	0.625	0.000	spades
25198770:Fig2BMtuberculosisH37Mis2x250bp:Misassemblies:Fig3A	0.500	0.250	celera
25198770:Fig2BMtuberculosisH37Mis2x250bp:Misassemblies:Fig3A	0.250	0.625	newbler
25198770:Fig2BMtuberculosisH37Mis2x250bp:Misassemblies:Fig3A	1.000	0.375	seqman
25198770:Fig2BMtuberculosisH37Mis2x250bp:Misassemblies:Fig3A	0.375	0.125	mira
25198770:Fig2ASaureusCOLPGM200bp:NGA50:Fig3A	0.500	0.625	abyss
25198770:Fig2ASaureusCOLPGM200bp:NGA50:Fig3A	0.625	0.938	clc
25198770:Fig2ASaureusCOLPGM200bp:NGA50:Fig3A	0.000	0.938	soap
25198770:Fig2ASaureusCOLPGM200bp:NGA50:Fig3A	0.250	0.750	velvet
25198770:Fig2ASaureusCOLPGM200bp:NGA50:Fig3A	0.875	0.125	spades
25198770:Fig2ASaureusCOLPGM200bp:NGA50:Fig3A	0.375	0.250	celera
25198770:Fig2ASaureusCOLPGM200bp:NGA50:Fig3A	0.750	0.500	newbler
25198770:Fig2ASaureusCOLPGM200bp:NGA50:Fig3A	0.125	0.375	seqman
25198770:Fig2ASaureusCOLPGM200bp:NGA50:Fig3A	1.000	0.000	mira
25198770:Fig2BSaureusCOLPGM200bp:Misassemblies:Fig3A	1.000	0.625	abyss
25198770:Fig2BSaureusCOLPGM200bp:Misassemblies:Fig3A	0.375	0.938	clc
25198770:Fig2BSaureusCOLPGM200bp:Misassemblies:Fig3A	0.500	0.938	soap
25198770:Fig2BSaureusCOLPGM200bp:Misassemblies:Fig3A	0.812	0.750	velvet
25198770:Fig2BSaureusCOLPGM200bp:Misassemblies:Fig3A	0.250	0.125	spades
25198770:Fig2BSaureusCOLPGM200bp:Misassemblies:Fig3A	0.625	0.250	celera
25198770:Fig2BSaureusCOLPGM200bp:Misassemblies:Fig3A	0.812	0.500	newbler
25198770:Fig2BSaureusCOLPGM200bp:Misassemblies:Fig3A	0.000	0.375	seqman
25198770:Fig2BSaureusCOLPGM200bp:Misassemblies:Fig3A	0.125	0.000	mira
25198770:Fig2AEcoliSAKAIPGM200bp:NGA50:Fig3A	0.188	0.625	abyss
25198770:Fig2AEcoliSAKAIPGM200bp:NGA50:Fig3A	0.625	1.000	clc
25198770:Fig2AEcoliSAKAIPGM200bp:NGA50:Fig3A	0.000	0.875	soap
25198770:Fig2AEcoliSAKAIPGM200bp:NGA50:Fig3A	0.188	0.750	velvet
25198770:Fig2AEcoliSAKAIPGM200bp:NGA50:Fig3A	1.000	0.125	spades
25198770:Fig2AEcoliSAKAIPGM200bp:NGA50:Fig3A	0.438	0.375	celera
25198770:Fig2AEcoliSAKAIPGM200bp:NGA50:Fig3A	0.875	0.500	newbler
25198770:Fig2AEcoliSAKAIPGM200bp:NGA50:Fig3A	0.438	0.250	seqman
25198770:Fig2AEcoliSAKAIPGM200bp:NGA50:Fig3A	0.750	0.000	mira
25198770:Fig2BEcoliSAKAIPGM200bp:Misassemblies:Fig3A	0.875	0.625	abyss
25198770:Fig2BEcoliSAKAIPGM200bp:Misassemblies:Fig3A	0.500	1.000	clc
25198770:Fig2BEcoliSAKAIPGM200bp:Misassemblies:Fig3A	1.000	0.875	soap
25198770:Fig2BEcoliSAKAIPGM200bp:Misassemblies:Fig3A	0.250	0.750	velvet
25198770:Fig2BEcoliSAKAIPGM200bp:Misassemblies:Fig3A	0.375	0.125	spades
25198770:Fig2BEcoliSAKAIPGM200bp:Misassemblies:Fig3A	0.750	0.375	celera
25198770:Fig2BEcoliSAKAIPGM200bp:Misassemblies:Fig3A	0.625	0.500	newbler
25198770:Fig2BEcoliSAKAIPGM200bp:Misassemblies:Fig3A	0.000	0.250	seqman
25198770:Fig2BEcoliSAKAIPGM200bp:Misassemblies:Fig3A	0.125	0.000	mira
25198770:Fig2ASaureusCOLPGM400bp:NGA50:Fig3A	0.250	0.625	abyss
25198770:Fig2ASaureusCOLPGM400bp:NGA50:Fig3A	0.500	0.875	clc
25198770:Fig2ASaureusCOLPGM400bp:NGA50:Fig3A	0.000	0.750	soap
25198770:Fig2ASaureusCOLPGM400bp:NGA50:Fig3A	0.125	1.000	velvet
25198770:Fig2ASaureusCOLPGM400bp:NGA50:Fig3A	0.750	0.125	spades
25198770:Fig2ASaureusCOLPGM400bp:NGA50:Fig3A	0.625	0.250	celera
25198770:Fig2ASaureusCOLPGM400bp:NGA50:Fig3A	1.000	0.500	newbler
25198770:Fig2ASaureusCOLPGM400bp:NGA50:Fig3A	0.375	0.375	seqman
25198770:Fig2ASaureusCOLPGM400bp:NGA50:Fig3A	0.875	0.000	mira
25198770:Fig2BSaureusCOLPGM400bp:Misassemblies:Fig3A	1.000	0.625	abyss
25198770:Fig2BSaureusCOLPGM400bp:Misassemblies:Fig3A	0.625	0.875	clc
25198770:Fig2BSaureusCOLPGM400bp:Misassemblies:Fig3A	0.000	0.750	soap
25198770:Fig2BSaureusCOLPGM400bp:Misassemblies:Fig3A	0.375	1.000	velvet
25198770:Fig2BSaureusCOLPGM400bp:Misassemblies:Fig3A	0.500	0.125	spades
25198770:Fig2BSaureusCOLPGM400bp:Misassemblies:Fig3A	0.875	0.250	celera
25198770:Fig2BSaureusCOLPGM400bp:Misassemblies:Fig3A	0.750	0.500	newbler
25198770:Fig2BSaureusCOLPGM400bp:Misassemblies:Fig3A	0.125	0.375	seqman
25198770:Fig2BSaureusCOLPGM400bp:Misassemblies:Fig3A	0.250	0.000	mira
25198770:Fig2AEcoliSAKAIPGM400bp:NGA50:Fig3A	0.250	0.625	abyss
25198770:Fig2AEcoliSAKAIPGM400bp:NGA50:Fig3A	0.375	0.938	clc
25198770:Fig2AEcoliSAKAIPGM400bp:NGA50:Fig3A	0.000	0.750	soap
25198770:Fig2AEcoliSAKAIPGM400bp:NGA50:Fig3A	0.125	0.938	velvet
25198770:Fig2AEcoliSAKAIPGM400bp:NGA50:Fig3A	0.875	0.375	spades
25198770:Fig2AEcoliSAKAIPGM400bp:NGA50:Fig3A	0.500	0.250	celera
25198770:Fig2AEcoliSAKAIPGM400bp:NGA50:Fig3A	0.625	0.500	newbler
25198770:Fig2AEcoliSAKAIPGM400bp:NGA50:Fig3A	0.750	0.125	seqman
25198770:Fig2AEcoliSAKAIPGM400bp:NGA50:Fig3A	1.000	0.000	mira
25198770:Fig2BEcoliSAKAIPGM400bp:Misassemblies:Fig3A	0.875	0.625	abyss
25198770:Fig2BEcoliSAKAIPGM400bp:Misassemblies:Fig3A	0.625	1.000	clc
25198770:Fig2BEcoliSAKAIPGM400bp:Misassemblies:Fig3A	0.000	0.750	soap
25198770:Fig2BEcoliSAKAIPGM400bp:Misassemblies:Fig3A	0.125	0.875	velvet
25198770:Fig2BEcoliSAKAIPGM400bp:Misassemblies:Fig3A	0.500	0.375	spades
25198770:Fig2BEcoliSAKAIPGM400bp:Misassemblies:Fig3A	1.000	0.250	celera
25198770:Fig2BEcoliSAKAIPGM400bp:Misassemblies:Fig3A	0.750	0.500	newbler
25198770:Fig2BEcoliSAKAIPGM400bp:Misassemblies:Fig3A	0.250	0.125	seqman
25198770:Fig2BEcoliSAKAIPGM400bp:Misassemblies:Fig3A	0.375	0.000	mira
25198770:Fig2AMtuberculosisH37PGM400bp:NGA50:Fig3A	0.188	0.625	abyss
25198770:Fig2AMtuberculosisH37PGM400bp:NGA50:Fig3A	0.375	1.000	clc
25198770:Fig2AMtuberculosisH37PGM400bp:NGA50:Fig3A	0.000	0.875	soap
25198770:Fig2AMtuberculosisH37PGM400bp:NGA50:Fig3A	0.188	0.750	velvet
25198770:Fig2AMtuberculosisH37PGM400bp:NGA50:Fig3A	0.875	0.250	spades
25198770:Fig2AMtuberculosisH37PGM400bp:NGA50:Fig3A	0.625	0.375	celera
25198770:Fig2AMtuberculosisH37PGM400bp:NGA50:Fig3A	0.750	0.500	newbler
25198770:Fig2AMtuberculosisH37PGM400bp:NGA50:Fig3A	0.500	0.125	seqman
25198770:Fig2AMtuberculosisH37PGM400bp:NGA50:Fig3A	1.000	0.000	mira
25198770:Fig2BMtuberculosisH37PGM400bp:Misassemblies:Fig3A	1.000	0.625	abyss
25198770:Fig2BMtuberculosisH37PGM400bp:Misassemblies:Fig3A	0.375	1.000	clc
25198770:Fig2BMtuberculosisH37PGM400bp:Misassemblies:Fig3A	0.500	0.875	soap
25198770:Fig2BMtuberculosisH37PGM400bp:Misassemblies:Fig3A	0.875	0.750	velvet
25198770:Fig2BMtuberculosisH37PGM400bp:Misassemblies:Fig3A	0.250	0.250	spades
25198770:Fig2BMtuberculosisH37PGM400bp:Misassemblies:Fig3A	0.625	0.375	celera
25198770:Fig2BMtuberculosisH37PGM400bp:Misassemblies:Fig3A	0.750	0.500	newbler
25198770:Fig2BMtuberculosisH37PGM400bp:Misassemblies:Fig3A	0.125	0.125	seqman
25198770:Fig2BMtuberculosisH37PGM400bp:Misassemblies:Fig3A	0.000	0.000	mira
24526711:SupplementaryTable1FinalRanking:FinalCombinedC2DLMSC:SupplementaryTable1RANKINGSRealvideos	0.000	1.000	comus
24526711:SupplementaryTable1FinalRanking:FinalCombinedC2DLMSC:SupplementaryTable1RANKINGSRealvideos	0.750	0.250	heidge
24526711:SupplementaryTable1FinalRanking:FinalCombinedC2DLMSC:SupplementaryTable1RANKINGSRealvideos	1.000	0.750	kthse
24526711:SupplementaryTable1FinalRanking:FinalCombinedC2DLMSC:SupplementaryTable1RANKINGSRealvideos	0.250	0.500	pragcz
24526711:SupplementaryTable1FinalRanking:FinalCombinedC2DLMSC:SupplementaryTable1RANKINGSRealvideos	0.500	0.000	upmes
24526711:SupplementaryTable1FinalRanking:FinalCombinedC3DHH157:SupplementaryTable1RANKINGSRealvideos	0.000	0.667	comus
24526711:SupplementaryTable1FinalRanking:FinalCombinedC3DHH157:SupplementaryTable1RANKINGSRealvideos	0.333	0.000	heidge
24526711:SupplementaryTable1FinalRanking:FinalCombinedC3DHH157:SupplementaryTable1RANKINGSRealvideos	0.667	0.333	kthse
24526711:SupplementaryTable1FinalRanking:FinalCombinedC3DHH157:SupplementaryTable1RANKINGSRealvideos	1.000	1.000	pragcz
24526711:SupplementaryTable1FinalRanking:FinalCombinedC3DLMDA231:SupplementaryTable1RANKINGSRealvideos	0.333	0.667	comus
24526711:SupplementaryTable1FinalRanking:FinalCombinedC3DLMDA231:SupplementaryTable1RANKINGSRealvideos	0.667	0.000	heidge
24526711:SupplementaryTable1FinalRanking:FinalCombinedC3DLMDA231:SupplementaryTable1RANKINGSRealvideos	1.000	0.333	kthse
24526711:SupplementaryTable1FinalRanking:FinalCombinedC3DLMDA231:SupplementaryTable1RANKINGSRealvideos	0.000	1.000	pragcz
24526711:SupplementaryTable1FinalRanking:FinalCombinedN2DHGOWT1:SupplementaryTable1RANKINGSRealvideos	0.000	1.000	comus
24526711:SupplementaryTable1FinalRanking:FinalCombinedN2DHGOWT1:SupplementaryTable1RANKINGSRealvideos	0.600	0.400	heidge
24526711:SupplementaryTable1FinalRanking:FinalCombinedN2DHGOWT1:SupplementaryTable1RANKINGSRealvideos	0.400	0.200	leidnl
24526711:SupplementaryTable1FinalRanking:FinalCombinedN2DHGOWT1:SupplementaryTable1RANKINGSRealvideos	1.000	0.800	kthse
24526711:SupplementaryTable1FinalRanking:FinalCombinedN2DHGOWT1:SupplementaryTable1RANKINGSRealvideos	0.800	0.600	pragcz
24526711:SupplementaryTable1FinalRanking:FinalCombinedN2DHGOWT1:SupplementaryTable1RANKINGSRealvideos	0.200	0.000	upmes
24526711:SupplementaryTable1FinalRanking:FinalCombinedN2DLHela:SupplementaryTable1RANKINGSRealvideos	0.000	1.000	comus
24526711:SupplementaryTable1FinalRanking:FinalCombinedN2DLHela:SupplementaryTable1RANKINGSRealvideos	0.750	0.250	heidge
24526711:SupplementaryTable1FinalRanking:FinalCombinedN2DLHela:SupplementaryTable1RANKINGSRealvideos	1.000	0.750	kthse
24526711:SupplementaryTable1FinalRanking:FinalCombinedN2DLHela:SupplementaryTable1RANKINGSRealvideos	0.500	0.500	pragcz
24526711:SupplementaryTable1FinalRanking:FinalCombinedN2DLHela:SupplementaryTable1RANKINGSRealvideos	0.250	0.000	upmes
24526711:SupplementaryTable1FinalRanking:FinalCombinedN3DHCHO:SupplementaryTable1RANKINGSRealvideos	0.000	1.000	comus
24526711:SupplementaryTable1FinalRanking:FinalCombinedN3DHCHO:SupplementaryTable1RANKINGSRealvideos	1.000	0.250	heidge
24526711:SupplementaryTable1FinalRanking:FinalCombinedN3DHCHO:SupplementaryTable1RANKINGSRealvideos	0.500	0.000	leidnl
24526711:SupplementaryTable1FinalRanking:FinalCombinedN3DHCHO:SupplementaryTable1RANKINGSRealvideos	0.750	0.500	kthse
24526711:SupplementaryTable1FinalRanking:FinalCombinedN3DHCHO:SupplementaryTable1RANKINGSRealvideos	0.250	0.750	pragcz
24526711:SupplementaryTable1FinalRanking:FinalCombinedN2DHSIM:SupplementaryTable1RANKINGSRealvideos	0.000	1.000	comus
24526711:SupplementaryTable1FinalRanking:FinalCombinedN2DHSIM:SupplementaryTable1RANKINGSRealvideos	0.600	0.400	heidge
24526711:SupplementaryTable1FinalRanking:FinalCombinedN2DHSIM:SupplementaryTable1RANKINGSRealvideos	1.000	0.200	leidnl
24526711:SupplementaryTable1FinalRanking:FinalCombinedN2DHSIM:SupplementaryTable1RANKINGSRealvideos	0.800	0.800	kthse
24526711:SupplementaryTable1FinalRanking:FinalCombinedN2DHSIM:SupplementaryTable1RANKINGSRealvideos	0.200	0.600	pragcz
24526711:SupplementaryTable1FinalRanking:FinalCombinedN2DHSIM:SupplementaryTable1RANKINGSRealvideos	0.400	0.000	upmes
24526711:SupplementaryTable1FinalRanking:FinalCombinedN3DHSIM:SupplementaryTable1RANKINGSRealvideos	0.250	0.750	comus
24526711:SupplementaryTable1FinalRanking:FinalCombinedN3DHSIM:SupplementaryTable1RANKINGSRealvideos	0.500	0.250	heidge
24526711:SupplementaryTable1FinalRanking:FinalCombinedN3DHSIM:SupplementaryTable1RANKINGSRealvideos	1.000	0.000	leidnl
24526711:SupplementaryTable1FinalRanking:FinalCombinedN3DHSIM:SupplementaryTable1RANKINGSRealvideos	0.750	0.500	kthse
24526711:SupplementaryTable1FinalRanking:FinalCombinedN3DHSIM:SupplementaryTable1RANKINGSRealvideos	0.000	1.000	pragcz
24839440:Fig6:Mappingefficiency:Fig3	0.500	0.750	bsmap
24839440:Fig6:Mappingefficiency:Fig3	0.000	0.500	bsseeker
24839440:Fig6:Mappingefficiency:Fig3	1.000	0.250	bismark
24839440:Fig6:Mappingefficiency:Fig3	0.250	1.000	bratbw
24839440:Fig6:Mappingefficiency:Fig3	0.750	0.000	biss
17062146:Fig1:averageaccuracyvaluesallrefs:Fig1	0.444	0.444	clustalw
17062146:Fig1:averageaccuracyvaluesallrefs:Fig1	0.111	0.222	dialign
17062146:Fig1:averageaccuracyvaluesallrefs:Fig1	0.778	0.000	tcoffee
17062146:Fig1:averageaccuracyvaluesallrefs:Fig1	0.000	0.667	poa
17062146:Fig1:averageaccuracyvaluesallrefs:Fig1	0.333	1.000	mafftfftns
17062146:Fig1:averageaccuracyvaluesallrefs:Fig1	0.667	0.778	muscle
17062146:Fig1:averageaccuracyvaluesallrefs:Fig1	0.889	0.556	mafftlinsi
17062146:Fig1:averageaccuracyvaluesallrefs:Fig1	1.000	0.111	probcons
17062146:Fig1:averageaccuracyvaluesallrefs:Fig1	0.222	0.333	dialignt
17062146:Fig1:averageaccuracyvaluesallrefs:Fig1	0.556	0.889	kalign
17062146:Fig1:averageaccuracyvaluesSimprot:Fig1	0.333	0.444	clustalw
17062146:Fig1:averageaccuracyvaluesSimprot:Fig1	0.111	0.222	dialign
17062146:Fig1:averageaccuracyvaluesSimprot:Fig1	0.222	0.333	dialignt
17062146:Fig1:averageaccuracyvaluesSimprot:Fig1	0.444	0.889	kalign
17062146:Fig1:averageaccuracyvaluesSimprot:Fig1	0.778	1.000	mafftfftns
17062146:Fig1:averageaccuracyvaluesSimprot:Fig1	0.889	0.556	mafftlinsi
17062146:Fig1:averageaccuracyvaluesSimprot:Fig1	0.556	0.778	muscle
17062146:Fig1:averageaccuracyvaluesSimprot:Fig1	0.000	0.667	poa
17062146:Fig1:averageaccuracyvaluesSimprot:Fig1	1.000	0.111	probcons
17062146:Fig1:averageaccuracyvaluesSimprot:Fig1	0.667	0.000	tcoffee
